Running integration tests...

ok  	github.com/grafana/scribe	0.003s
?   	github.com/grafana/scribe/ci	[no test files]
?   	github.com/grafana/scribe/ci/docker	[no test files]
?   	github.com/grafana/scribe/demo/basic	[no test files]
?   	github.com/grafana/scribe/demo/complex	[no test files]
?   	github.com/grafana/scribe/docker	[no test files]
?   	github.com/grafana/scribe/exec	[no test files]
?   	github.com/grafana/scribe/fs	[no test files]
?   	github.com/grafana/scribe/git	[no test files]
?   	github.com/grafana/scribe/git/x	[no test files]
?   	github.com/grafana/scribe/golang	[no test files]
?   	github.com/grafana/scribe/golang/x	[no test files]
?   	github.com/grafana/scribe/makefile	[no test files]
?   	github.com/grafana/scribe/plumbing	[no test files]
?   	github.com/grafana/scribe/plumbing/cmd	[no test files]
?   	github.com/grafana/scribe/plumbing/cmd/commands	[no test files]
?   	github.com/grafana/scribe/plumbing/cmdutil	[no test files]
?   	github.com/grafana/scribe/plumbing/pipeline	[no test files]
?   	github.com/grafana/scribe/plumbing/pipeline/clients/cli	[no test files]
ok  	github.com/grafana/scribe/plumbing/pipeline/clients/docker	0.009s
ok  	github.com/grafana/scribe/plumbing/pipeline/clients/drone	0.329s
?   	github.com/grafana/scribe/plumbing/plog	[no test files]
?   	github.com/grafana/scribe/plumbing/schemas/drone	[no test files]
?   	github.com/grafana/scribe/plumbing/stringutil	[no test files]
?   	github.com/grafana/scribe/plumbing/syncutil	[no test files]
?   	github.com/grafana/scribe/plumbing/testutil	[no test files]
?   	github.com/grafana/scribe/plumbing/wrappers	[no test files]
?   	github.com/grafana/scribe/yarn	[no test files]

